start_station;end_station;start_date;minutes
Bourgeoys / Favard;St-Hubert / Duluth;21/04/2021 12:34:38;7288
Métro Charlevoix (Centre / Charlevoix);Métro Place St-Henri (St-Ferdinand / St-Jacques);18/04/2021 14:22:17;5416
Tupper / du Fort;Léa-Roback / Sir-Georges-Etienne-Cartier;22/04/2021 08:53:10;3198
de l'Hôtel-de-Ville / Sherbrooke;Milton / Durocher;11/04/2021 00:09:15;2140
Métro Parc  (Hutchison / Ogilvy);d'Outremont / Ogilvy;23/04/2021 14:25:29;1395
de St-Firmin / Fleury;Boyer / Bélanger;24/04/2021 12:35:56;1336
5e avenue / Rosemont;des Érables / Bélanger;24/04/2021 17:42:17;1305
Papineau / Émile-Journault;2e avenue / Jean-Rivard;09/04/2021 18:02:54;1215
St-Dominique / du Mont-Royal;André-Laurendeau / Rachel;15/06/2021 17:09:31;1192
Grand Boulevard / de Terrebonne;Métro Villa-Maria (de Monkland / Décarie);15/04/2021 18:14:00;1179
de Bullion / St-Joseph;Notre-Dame / Jean-d'Estrées;15/06/2021 18:15:51;1163
Villeneuve / St-Laurent;Chabot / du Mont-Royal;18/04/2021 19:04:04;1056
McTavish / Sherbrooke;Parc de Bullion (de Bullion / Prince-Arthur);24/04/2021 18:31:13;1053
Augustin-Cantin / Shearer;de l'Église / de Verdun;13/04/2021 19:44:29;1040
Mansfield / Ste-Catherine;Lincoln / du Fort;24/04/2021 20:02:28;964
Parc Joyce (Rockland / Lajoie);St-Cyril / Wiseman;26/04/2021 19:24:14;963
Wilderton  / Van Horne;Gare Bois-de-Boulogne;21/08/2021 07:25:10;806
Parc Pratt (Dunlop / Van Horne);Mozart / Waverly;15/04/2021 01:00:14;773
de la Commune / St-Sulpice;de l'Hôtel-de-Ville / Sherbrooke;06/07/2022 23:50:25;630
de Léry / Sherbrooke;Métro Papineau (Cartier / Ste-Catherine);18/08/2022 18:21:54;594
Querbes / Laurier;de l'Eglise / St-Germain;14/06/2021 01:06:16;575
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin);Glengarry / Graham;17/04/2022 18:23:09;554
Parc Jean-Drapeau (Chemin Macdonald);La Ronde;16/07/2022 11:42:51;548
des Bassins / du Séminaire;Casino de Montréal;14/05/2022 18:26:22;533
Boyer / Beaubien;Mozart / St-Laurent;28/04/2021 17:07:26;522
Metcalfe / du Square-Dorchester;Sherbrooke / Frontenac;27/08/2022 18:44:45;521
Crescent / de Maisonneuve;Métro Sherbrooke (de Rigaud / St-Denis);17/04/2021 15:42:54;520
du Parc-La Fontaine / Duluth;Parc Jeanne-Mance (du Mont-Royal / du Parc);20/08/2022 12:31:52;520
Bishop / Ste-Catherine;Mackay / Ste-Catherine;24/08/2022 23:59:33;515
St-Jacques / St-Laurent;Bishop / Ste-Catherine;17/05/2022 11:48:48;508
St-Antoine / St-François-Xavier;Métro Bonaventure (de la Gauchetière / de la Cathédrale);09/10/2022 23:56:32;507
St-Catherine / St-Laurent;Laval / Rachel;25/05/2022 23:48:33;505
Resther / du Mont-Royal;de Bleury / de Maisonneuve;18/08/2022 00:53:35;499
Alexandra / Jean-Talon;Everett / Garnier;29/08/2022 01:11:43;497
Ryde / Charlevoix;Métro Verdun (Willibrord / de Verdun);18/07/2022 07:18:19;497
St-Hubert / St-Joseph;du Mont-Royal / Augustin-Frigon;30/04/2022 00:06:26;497
Cartier / Bélanger;Parc Painter (Marcotte / Quenneville);31/05/2022 07:27:19;493
Dollard / Bernard;CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);22/04/2022 08:14:13;490
de la Commune / King;Pontiac / Gilford;25/06/2022 23:38:12;482
Chomedey / de Maisonneuve;Hillside / Ste-Catherine;19/04/2021 16:41:13;481
Jeanne-d'Arc / Ontario;de Léry / Sherbrooke;06/05/2022 00:35:21;480
Parc Joseph-Robin (18e avenue / Everett);Parc Villeray (Christophe-Colomb / Jarry);30/08/2022 07:56:04;477
Stinson / Montpellier;de l'Eglise / St-Germain;21/04/2022 23:38:33;474
Rachel / de Brébeuf;Ontario / Sicard;30/06/2022 01:29:51;471
Milton / Clark;St-Dominique / Laurier;03/09/2022 13:05:37;465
Ste-Catherine / Labelle;Fullum / de Rouen;22/10/2022 01:14:06;464
Marché Atwater;Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);11/06/2022 19:41:26;463
Parc du Pélican (1ère avenue / Masson);Prince-Arthur / du Parc;10/06/2022 12:11:56;462
Guilbault / Clark;Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);11/05/2022 00:37:21;460
Bernard / Jeanne-Mance;Gloria / Dollard;03/07/2022 08:48:13;455
Métro St-Laurent (de Maisonneuve / St-Laurent);26e avenue / Beaubien;10/07/2022 14:34:50;452
St-Charles / St-Sylvestre;Guilbault / Clark;25/05/2022 07:13:35;451
du Parc-La Fontaine / Roy;Fullum / Terrasse Mercure;23/09/2022 02:28:31;449
Duke / Brennan;St-Ambroise / Louis-Cyr;06/10/2022 13:25:34;447
Sherbrooke / Vignal;de la Côte St-Antoine / Argyle;07/09/2022 12:22:05;445
Ste-Catherine / Dezery;Métro Fabre (Marquette / Jean-Talon);13/07/2022 19:42:57;432
Parc Lalancette (de Rouen / Valois);de Gaspé / Villeray;17/10/2022 03:19:46;429
Marquette / du Mont-Royal;Marquette / Gilford;29/07/2022 02:13:41;428
de Normanville / Villeray;Park Row O / Sherbrooke;11/09/2022 03:04:22;428
Métro Beaubien (de Chateaubriand / Beaubien);Marie-Anne / de la Roche;26/05/2022 01:08:09;427
de Gaspé / Beaubien;5e avenue / Masson;27/08/2022 12:08:46;424
Marie-Anne / de la Roche;de la Commune / Berri;28/06/2022 19:07:16;416
Ernest-Gendreau / du Mont-Royal;Charlevoix / Lionel-Groulx;25/08/2022 07:59:26;410
Métro Peel (de Maisonneuve / Stanley);St-Zotique / Clark;22/06/2022 01:52:21;410
de la Roche / Bélanger;Drolet / St-Zotique;20/10/2022 19:39:37;410
Place du Commerce;Regina / de Verdun;15/08/2021 08:16:02;409
St-Hubert / Duluth;Calixa-Lavallée / Sherbrooke;10/07/2022 03:19:13;407
de Bordeaux / Sherbrooke;Gauthier / Papineau;05/06/2022 08:24:30;407
Villeneuve / St-Urbain;Mackay / Ste-Catherine;05/05/2022 12:02:08;403
Boucher / St-Denis;de la Commune / Berri;24/09/2022 07:34:40;402
Métro Langelier (Langelier / Sherbrooke);St-André / Robin;09/06/2022 06:48:34;398
Parc Ludger-Duvernay (St-André / St-Hubert);de la Cathédrale / René-Lévesque;16/06/2021 15:26:25;394
de Gaspé / Fairmount;CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);01/09/2022 18:42:48;394
Métro Vendôme (de Marlowe / de Maisonneuve);Ropery / Augustin-Cantin;11/05/2022 14:25:11;393
CCI Outremont (Dollard / Durcharme);Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);22/10/2022 09:42:45;392
Louis-Hébert / de Bellechasse;Dorion / Rachel;22/04/2022 12:55:00;391
du Parc-Lafontaine / Rachel;Jeanne-Mance / René-Lévesque;04/10/2022 01:23:22;390
Métro Jarry (Lajeunesse / Jarry);de Gaspé / Villeray;17/05/2022 09:55:28;388
la Fontaine / Alexandre-de-Sève;de Bullion / St-Joseph;04/06/2022 18:18:26;388
de l'Hôtel-de-Ville / Ste-Catherine;Parc Jeanne-Mance (du Mont-Royal / du Parc);20/08/2022 03:24:23;387
Métro Atwater (Atwater / Ste-Catherine);Métro Peel (de Maisonneuve / Stanley);21/04/2022 13:57:01;380
St-Urbain / René-Lévesque;Métro Pie-IX (Pierre-de-Coubertin / de la Salle) (2);03/09/2022 01:38:07;379
Métro Préfontaine (Moreau / Hochelaga);de la Salle / Ontario;17/09/2022 11:44:51;377
Waverly / St-Zotique;de l'Esplanade / Fairmount;03/06/2022 08:45:36;376
Roy / St-Laurent;Boucher / St-Denis;16/08/2022 19:06:06;375
Hogan / Ontario;St-Urbain / Beaubien;30/07/2022 21:32:45;374
Monk / de Biencourt;Gagne / LaSalle;16/06/2021 16:39:03;373
St-Dominique / Rachel;Rachel / de Brébeuf;01/05/2022 02:48:10;370
Crescent / René-Lévesque;Chomedey / de Maisonneuve;02/10/2022 01:35:17;368
Parc Père-Marquette (Chambord / Rosemont);Parc Jean-Drapeau (Chemin Macdonald);02/07/2022 16:16:16;367
Langelier / Marie-Victorin;Parc St-Laurent (Salk / Thomas-Chapais);25/08/2022 11:35:23;366
Rachel / du Parc-Lafontaine;Clark / Rachel;24/07/2022 12:21:25;366
Parc Baldwin (Fullum / Sherbrooke);André-Laurendeau / Rachel;02/06/2022 09:04:02;365
Parc Benny (Benny / de Monkland);Parc Van Horne (de la Peltrie / de Westbury);09/11/2021 07:24:05;365
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);Milton / Clark;02/07/2022 15:03:39;362
Parc St-Henri (Laporte / Guay);de Châteauguay / Ropery;14/08/2022 13:03:59;362
Basile-Routhier / Chabanel;de Bordeaux / Sherbrooke;24/05/2022 07:40:32;360
Parthenais / du Mont-Royal;St-Jacques / McGill;23/09/2022 12:53:07;360
Durocher / Sherbrooke;University / Milton;17/04/2022 10:03:11;358
Marché Jean-Talon (Casgrain / Shamrock);Bélanger / St-Denis;20/06/2022 12:20:26;358
Parc Jeanne-Mance (du Mont-Royal / du Parc);Bernard / Jeanne-Mance;26/04/2022 16:01:08;357
Bloomfield / Jean-Talon;Villeneuve / St-Urbain;15/10/2022 02:11:11;356
Laval / Rachel;McCulloch / de la Côte Ste-Catherine;23/09/2022 18:29:52;356
Plessis / Logan;la Fontaine / Alexandre-de-Sève;03/06/2022 19:20:45;348
St-André / Cherrier;du Mont-Royal / Clark;05/06/2022 08:21:11;348
Waverly / St-Viateur;Parc Jeanne Mance (monument sir George-Etienne Cartier);24/04/2021 12:51:13;348
Desjardins / Ontario;Ontario / Sicard;17/04/2022 12:05:08;347
Plessis / Ontario;du Champ-de-Mars / Gosford;20/10/2022 09:21:40;347
de la Commune / Berri;Métro Beaubien (de Chateaubriand / Beaubien);11/04/2021 18:04:07;347
Jean-Brillant / de la Côte-des-Neiges;Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);18/09/2022 16:02:31;343
de Bordeaux / Masson;27e avenue / Rosemont;03/09/2022 01:23:22;342
19e avenue / St-Zotique;du Mont-Royal / Clark;23/07/2022 15:18:49;341
26e avenue / Beaubien;Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési);12/08/2022 20:35:18;341
IUSMM (Georges-Villeneuve);Pierre-de-Coubertin / Langelier;21/08/2022 01:28:43;341
de l'Église / Bannantyne;Parc Jeanne Mance (monument sir George-Etienne Cartier);24/08/2022 18:38:37;341
St-Alexandre / Ste-Catherine;Place Émilie-Gamelin (St-Hubert / de Maisonneuve);29/08/2022 18:28:16;340
Métro Rosemont (de St-Vallier / Rosemont);Bélanger / St-Denis;17/04/2021 19:00:26;339
Métro de l'Église (Ross / de l'Église);Parc des Rapides (LaSalle / 6e avenue);17/04/2021 15:50:13;338
Émile-Duployé / Sherbrooke;de la Commune / King;05/06/2022 08:42:10;335
St-Dominique / St-Zotique;Duluth / de l'Esplanade;03/08/2022 19:16:15;334
Aylwin / Ontario;Logan / de Champlain;17/07/2022 03:33:21;333
Paré / Mountain Sights;St-Urbain / de la Gauchetière;05/06/2022 07:54:29;333
St-André / Ste-Catherine;Poupart / Ste-Catherine;09/07/2022 20:59:10;333
de Gaspé / Villeray;St-Dominique / Jean-Talon;25/06/2022 08:47:25;332
de la Commune / Place Jacques-Cartier;Drummond / Ste-Catherine;14/07/2022 13:25:31;332
Dézéry / Ontario;Ontario / Sicard;04/09/2022 03:48:10;330
Canning / Notre-Dame;St-Marc / Ste-Catherine;28/10/2022 08:51:16;329
Parc de Beauséjour (Gouin / Henri-d'Arles);Stinson / Montpellier;05/07/2022 16:33:57;329
McCulloch / de la Côte Ste-Catherine;Harvard / de Monkland;26/10/2022 07:47:22;327
Métro Viau (Viau / Pierre-de-Coubertin);Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal);29/08/2022 19:05:54;327
Poupart / Ontario;Marquette / Rachel;31/05/2022 18:49:47;327
Parc Henri-Dunant (Léger / Henri-Dunant);Métro Cartier;12/07/2022 06:57:24;326
Richardson / de Montmorency;Crescent / René-Lévesque;11/09/2022 15:13:59;325
St-Dominique / Napoléon;Pontiac / Gilford;14/07/2022 01:17:15;325
Duvernay / Charlevoix;Canning / Notre-Dame;01/08/2022 21:29:30;324
Rose-de-Lima / Workman;St-Maurice / Robert-Bourassa;03/05/2022 09:02:34;323
Lajeunesse / de Liège;5e avenue / Bannantyne;09/09/2021 16:47:57;322
3e avenue / Holt;29e avenue / St-Zotique;29/08/2022 15:09:21;321
de la Cathédrale / René-Lévesque;Poupart / Ste-Catherine;19/06/2022 02:42:56;321
Atwater / Sherbrooke;Villeneuve / St-Urbain;16/06/2022 15:03:28;320
Jacques-Casault / Christophe-Colomb;Fabre / St-Zotique;14/08/2022 10:15:33;320
Louis-Hémon / Rosemont;Tupper / du Fort;04/07/2022 09:07:51;320
Thimens / Alexis-Nihon;Centre des loisirs (Tassé / Grenet);16/08/2022 19:48:59;318
Vallières / St-Laurent;Cartier / Bélanger;23/04/2022 23:31:34;317
Square Victoria (Viger / du Square-Victoria);St-Jacques / St-Laurent;29/08/2022 10:00:19;316
Tolhurst / Fleury;Laforest / Dudemaine;17/08/2022 09:37:15;316
Victoria / de Maisonneuve;HEC (Decelles / Jean-Brillant);15/07/2022 17:02:23;315
Richmond / des Bassins;Durocher / Sherbrooke;26/06/2022 09:10:57;314
Laval / du Mont-Royal;Roy / St-Laurent;05/06/2022 16:38:31;313
du Mont-Royal / Clark;Durocher / Bernard;10/10/2021 17:10:01;313
Métro Place-d'Armes (Viger / St-Urbain);St-Antoine / St-François-Xavier;02/09/2022 17:58:40;312
Parc Ottawa (de Belleville / Fleury);Jeanne-Mance / Laurier;14/08/2022 12:50:38;312
Bélanger / St-Denis;de Gaspé / Beaubien;28/05/2022 01:58:43;310
Viger / Chenneville;de l'Hôtel-de-Ville / Ste-Catherine;11/06/2021 22:47:46;310
Durocher / St-Viateur;Drummond / de Maisonneuve;08/10/2022 13:13:21;308
Métro Assomption (Chauveau / de l'Assomption);Pierre-de-Coubertin / Langelier;29/09/2022 20:09:48;308
Beaudry / Sherbrooke;St-André / Cherrier;15/10/2022 18:18:25;307
Cartier / Masson;Villeneuve / de l'Hôtel-de-Ville;04/07/2022 14:07:04;307
Young / Wellington;La Ronde;30/07/2022 10:19:53;306
Léa-Roback / Sir-Georges-Etienne-Cartier;Parc Jeanne Mance (monument sir George-Etienne Cartier);14/07/2022 18:44:30;305
Milton / du Parc;Milton / Durocher;02/09/2022 16:52:56;304
Gerry-Boulet / St-Grégoire;St-Dominique / St-Zotique;15/08/2021 06:21:44;303
16e avenue / Jean-Talon;Boyer / Beaubien;06/08/2022 17:23:35;302
Jardin Botanique (Pie-IX / Sherbrooke);Marmier / St-Denis;13/05/2022 22:03:12;302
Parc Chamberland (Dorais / de l'Église);Métro du Collège (Cartier / Décarie);10/09/2022 18:28:52;302
Argyle / de Verdun;Métro de l'Église (Ross / de l'Église);10/11/2021 17:59:47;300
de Maisonneuve / Mansfield (nord);de l'Hôtel-de-Ville / Ste-Catherine;08/06/2022 17:57:38;300
10e avenue / Masson;Boyer / Rachel;16/07/2021 22:57:37;298
Campus MIL (Outremont / Thérèse-Lavoie Roux);Chabanel / du Parc;11/08/2022 08:10:37;298
Drummond / Ste-Catherine;Guy / Notre-Dame;30/06/2022 15:05:07;297
St-Hubert / Laurier;Marquette / des Carrières;30/06/2022 09:59:40;297
St-Joseph Lachine / 21e avenue;de la Commune / Place Jacques-Cartier;30/07/2022 11:40:01;297
Ste-Catherine / Parthenais;Notre-Dame / St-Gabriel;22/09/2021 04:34:53;297
St-Rémi / Ste Émilie;de la Côte St-Paul / St-Ambroise;25/06/2022 19:38:27;296
Notre-Dame-de-Grâce / Décarie;Crescent / de Maisonneuve;07/09/2022 10:13:29;295
Fleury / Lajeunesse;Métro Sauvé (Berri / Sauvé);06/06/2021 11:18:30;294
Métro Papineau (Cartier / Ste-Catherine);Métro Frontenac (Ontario / du Havre);14/10/2022 17:04:31;294
Henri-Julien / du Carmel;Jeanne-Mance / St-Viateur;30/07/2022 09:21:01;293
Parc Kirkland (des Érables / Boyer);Notre-Dame-de-Grâce / Westmount;01/09/2022 13:06:08;293
Messier / du Mont-Royal;Fullum / Terrasse Mercure;05/11/2022 13:33:13;292
Notre-Dame / de la Montagne;St-Ambroise / Louis-Cyr;12/09/2022 08:35:19;292
Duluth / de l'Esplanade;Marquette / Laurier;10/06/2022 23:15:54;291
Parc Jeanne-Mance (monument à sir George-Étienne Cartier);du Mont-Royal / Augustin-Frigon;24/09/2022 12:20:29;291
Gilford / St-Denis;de l'Esplanade / Fairmount;29/09/2022 18:31:06;290
Métro Mont-Royal (Rivard / du Mont-Royal);Métro Lionel-Groulx (St-Jacques / Atwater);24/06/2022 15:30:54;290
Métro de Castelnau (de Castelnau / St-Laurent);Faillon / St-Denis;15/10/2022 02:25:27;290
Square St-Louis (du Square St-Louis / Laval);5e avenue / Masson;06/09/2022 19:08:12;290
Lespérance / de Rouen;Émile-Duployé / Sherbrooke;20/08/2021 16:44:06;289
Fullum / de Rouen;Dézéry / Ontario;16/07/2022 19:13:41;288
Grand Boulevard / Sherbrooke;Métro Vendôme (de Marlowe / de Maisonneuve);29/08/2021 11:29:40;288
Métro Henri-Bourassa (Henri-Bourassa / Millen);Bibliothèque du Boisé (Thimens / Todd);30/05/2021 10:39:54;288
Hamilton / Jolicoeur;Viger / Chenneville;14/05/2022 13:04:03;287
Fullum / Terrasse Mercure;St-Hubert / Duluth;10/08/2022 16:03:18;286
Marché Jean-Talon (Henri-Julien / Jean-Talon);Gary-Carter / St-Laurent;10/05/2022 15:31:58;286
Bennett / Adam;Bennett / Pierre-de-Coubertin;10/08/2022 18:57:41;285
Métro Plamondon (de Kent / Victoria);de Kent / de la Côte-des-Neiges;03/08/2022 18:30:06;285
Édouard-Montpetit / de Stirling;Drolet / Laurier;01/09/2022 20:33:31;285
Marquette / Gilford;Bélanger / St-Denis;29/10/2022 12:47:30;282
de Lisieux / Jean-Talon;Métro Fabre (Marquette / Jean-Talon);31/10/2022 16:35:08;282
Mozart / Waverly;Maguire / St-Laurent;15/08/2021 11:25:52;280
Fabre / Beaubien;Papineau / Émile-Journault;25/07/2022 16:42:32;279
Métro Champ-de-Mars (Viger / Sanguinet);St-Dominique / Rachel;25/04/2022 16:22:39;279
Métro Jean-Talon (Berri / Jean-Talon);St-Dominique / Bernard;28/09/2022 14:40:59;279
8e avenue / Notre-Dame Lachine;Métro Lionel-Groulx (St-Jacques / Atwater);03/08/2022 06:50:37;278
Laforest / Dudemaine;Gare Bois-de-Boulogne;08/09/2022 20:10:01;278
Maguire / St-Laurent;de la Peltrie / de la Côte-des-Neiges;25/10/2022 08:51:12;278
Métro du Collège (Cartier / Décarie);Métro Henri-Bourassa (Henri-Bourassa / Millen);02/05/2021 11:43:15;278
St-Charles / Thomas-Keefer;Marché Atwater;29/10/2022 17:45:54;278
Joseph-Manseau / René-Lévesque;Shearer / Centre;02/05/2022 12:53:01;277
Laval / Duluth;BAnQ (Berri / de Maisonneuve);23/08/2021 17:13:02;277
Graham / Kindersley;de l'Eglise / St-Germain;18/07/2021 17:15:09;275
Métro Georges-Vanier (St-Antoine / Canning);Alexandre-DeSève / Ste-Catherine;02/07/2022 10:38:54;275
Place d'Youville / McGill;de la Commune / Place Jacques-Cartier;30/09/2022 11:47:14;275
Parc du Pélican (2e avenue / St-Joseph);de la Roche /  de Bellechasse;21/04/2021 19:34:09;273
de Kent / Victoria;Graham / Kindersley;25/06/2021 16:30:35;273
St-Denis / René-Lévesque;Métro Université de Montréal (Édouard-Montpetit / Louis-Collin);14/04/2021 08:22:01;271
Graham / Brookfield;Graham / Wicksteed;06/08/2021 10:58:42;270
U. Concordia - Campus Loyola (Sherbrooke / West Broadway);Métro Jean-Talon (Berri / Jean-Talon);02/05/2022 18:23:21;270
Bibliothèque du Boisé (Thimens / Todd);Thimens / Alexis-Nihon;24/07/2022 13:58:39;269
Marché Maisonneuve;Jeanne-d'Arc / Ontario;01/10/2022 06:00:08;269
Sainte-Catherine / Parthenais;Poupart / Ste-Catherine;09/07/2022 21:13:52;269
Christophe-Colomb / St-Joseph;Laval / du Mont-Royal;19/05/2021 11:48:12;268
Ste-Famille / des Pins;Métro Peel (de Maisonneuve / Stanley);17/07/2022 17:11:58;267
Argyle / Bannantyne;Marché Atwater;30/09/2022 11:40:32;266
Métro Place St-Henri (St-Ferdinand / St-Jacques);Léa-Roback / Sir-Georges-Etienne-Cartier;12/05/2022 09:21:48;266
Prince-Arthur / St-Urbain;Young / Wellington;21/04/2021 08:36:34;266
de Lanaudière / Laurier;Métro Peel (de Maisonneuve / Stanley);25/06/2022 05:15:16;265
Calixa-Lavallée / Sherbrooke;City Councillors / du President-Kennedy;06/08/2022 23:05:07;264
Parc Henri-Julien (Legendre / Henri-Julien);Métro de Castelnau (de Castelnau / St-Laurent);07/08/2022 12:04:39;264
Guy / Sainte-Catherine;St-Mathieu / Ste-Catherine;07/09/2022 23:18:25;262
Parc Beaulac (rue Élizabeth);Métro Parc  (Hutchison / Ogilvy);16/07/2022 18:29:12;262
d'Outremont / Ogilvy;de Gaspé / Beaubien;17/05/2022 15:20:07;262
Notre-Dame-de-Grâce / Westmount;Glengarry / Graham;14/05/2021 18:02:38;261
Parc de Bullion (de Bullion / Prince-Arthur);Henri-Julien / du Carmel;22/05/2022 00:32:44;261
Metcalfe / St-Catherine;de la Commune / St-Sulpice;04/08/2022 12:02:28;260
de la Montagne/ Sherbrooke;University / Milton;03/09/2022 22:41:45;260
Quesnel / Vinet;Métro Jolicoeur (de Sève / Drake);26/08/2022 20:05:49;259
des Récollets / McGill;Ryde / Charlevoix;04/06/2022 11:04:11;259
Berri / Cherrier;Ste-Catherine / Labelle;10/08/2022 11:36:37;258
Gare Bois-de-Boulogne;Papineau / Émile-Journault;08/07/2022 14:46:51;258
Victoria Hall;de Maisonneuve / Mansfield (sud);07/09/2022 11:11:25;257
Métro Sauvé (Berri / Sauvé);Parc Eusèbe-Ménard (Gouin / St-Vital);04/09/2022 15:38:48;256
Métro Acadie (de l'Acadie / Beaumont);Bloomfield / Jean-Talon;15/10/2021 17:07:15;255
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard);Parc du Mail (Bois de Coulonges / du Mail);04/09/2022 11:13:36;254
CHSLD St-Michel (8e avenue / Jarry);Clark / St-Viateur;03/06/2022 07:32:54;254
Glengarry / Graham;Graham / Brookfield;14/05/2022 15:46:10;254
Park Row O / Sherbrooke;Victoria / de Maisonneuve;04/05/2021 17:10:25;254
Ste-Catherine / Union;Bishop / Ste-Catherine;05/07/2022 17:07:43;254
Fabre / St-Zotique;St-Denis / Ste-Catherine;01/09/2022 19:33:43;253
Roy / St-André;Clark / Ontario;28/04/2022 11:17:59;253
Métro Villa-Maria (de Monkland / Décarie);de Hampton / de Monkland;08/08/2022 15:33:55;252
Parc Plage;Quai de la navette fluviale;25/07/2022 17:33:45;252
27e avenue / Rosemont;Parc Sauvé (Balzac / de Bayonne);15/08/2022 16:47:57;251
Parc Jeanne Mance (monument sir George-Etienne Cartier);du Mont-Royal / Clark;06/05/2022 19:13:10;251
16e avenue / St-Joseph;de la Commune / Place Jacques-Cartier;21/08/2022 22:24:42;250
Parc Marlborough (Beauzèle / Robichaud);O'Brien / Poirier;29/07/2022 16:09:34;249
St-Urbain / de la Gauchetière;Georges-Vanier / Notre-Dame;22/06/2022 17:31:25;249
de la Côte St-Antoine / Royal;St-Dominique / Laurier;02/09/2022 22:30:33;248
Métro Snowdon (de Westbury / Queen-Mary);Métro du Collège (Cartier / Décarie);14/06/2022 16:30:05;246
de Maisonneuve / Mansfield (sud);Mackay / Ste-Catherine;08/07/2022 13:55:20;244
Ropery / Augustin-Cantin;Richmond / des Bassins;18/08/2022 21:59:42;243
Marie-Anne / St-Hubert;de la Peltrie / de la Côte-des-Neiges;29/08/2022 18:53:55;242
Métro Longueuil - Université de Sherbrooke;Sainte-Catherine / Parthenais;03/06/2022 20:08:30;242
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle);de la Côte St-Paul / St-Ambroise;16/08/2022 11:49:12;242
Parc des Rapides (LaSalle / 6e avenue);Métro Charlevoix (Centre / Charlevoix);31/07/2022 14:25:38;242
de Monkland / Girouard;de la Commune / St-Sulpice;08/05/2022 14:44:08;242
Parc Maisonneuve (Viau / Sherbrooke);Marmier / St-Denis;21/07/2022 15:25:51;241
Poupart / Ste-Catherine;Gare d'autocars de Montréal (Berri / Ontario);11/06/2022 23:05:40;241
Fullum / Marie-Anne;Crescent / de Maisonneuve;09/07/2022 20:08:34;240
de Mentana / Marie-Anne;de la Commune / Place Jacques-Cartier;06/08/2022 21:35:09;240
Boyer / Bélanger;Jeanne-Mance / Beaubien;10/06/2022 11:47:19;239
Drummond / de Maisonneuve;Métro Atwater (Atwater / Ste-Catherine);24/04/2021 13:49:06;238
St-Antoine / de la Montagne;Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);12/06/2022 19:53:54;238
de Ville-Marie / Ste-Catherine;Dorion / Gauthier;14/08/2021 18:12:22;238
Fortune / Wellington;Métro de l'Église (Ross / de l'Église);13/08/2022 14:50:24;237
du Champ-de-Mars / Gosford;Métro Champ-de-Mars (Viger / Sanguinet);13/08/2022 13:14:41;237
André-Laurendeau / Rachel;Molson / William-Tremblay;25/10/2022 13:43:10;236
Métro Angrignon (Lamont /  des Trinitaires);Jogues / Allard;22/05/2022 00:02:55;236
Métro Guy-Concordia (Guy / St-Catherine);Mackay / Sainte-Catherine;10/06/2021 11:40:36;236
Atwater / Greene;de la Commune / Place Jacques-Cartier;25/06/2022 13:55:45;235
Prince-Arthur / du Parc;Ste-Famille / Sherbrooke;27/08/2022 12:39:42;235
Ste-Famille / Sherbrooke;Calixa-Lavallée / Rachel;18/07/2021 00:24:55;235
de l'Église / de Verdun;Guy / Sainte-Catherine;28/08/2022 10:47:47;235
de l'Esplanade / du Mont-Royal;7e avenue / St-Joseph Rosemont;07/06/2021 16:55:52;234
Bernard / St-Urbain;Parc Jeanne Mance (monument sir George-Etienne Cartier);04/06/2021 23:17:37;232
Georges-Vanier / Notre-Dame;Crescent / de Maisonneuve;19/04/2022 18:48:25;232
Gloria / Dollard;LaSalle / 80e avenue;31/10/2021 07:14:43;232
Roy / St-Denis;Parc Jeanne Mance (monument sir George-Etienne Cartier);12/06/2021 18:10:55;232
St-Jacques / St-Pierre;Métro Place-d'Armes (Viger / St-Urbain);26/07/2022 11:45:16;232
Métro Lasalle (de Rushbrooke / Caisse);LaSalle / Crawford;26/07/2022 12:19:24;231
Métro Monk (Allard / Beaulieu);Monk / Biencourt;24/09/2022 13:45:32;231
de Brébeuf / du Mont-Royal;St-Dominique / Laurier;28/08/2022 21:03:03;231
Dollard / Van Horne;McKenna / Édouard-Montpetit;17/08/2021 22:38:31;230
Letourneux / Ste-Catherine;LaSalle / 80e avenue;25/08/2022 13:01:08;230
Ontario / Sicard;de la Salle / Ontario;01/10/2022 14:54:48;230
Boyer / Jean-Talon;Métro Angrignon (Lamont /  des Trinitaires);20/05/2022 12:26:25;229
Jeanne-Mance / René-Lévesque;Métro Place-d'Armes (Viger / St-Urbain);25/08/2022 17:43:50;229
des Soeurs-Grises / Marguerite-d'Youville;Marché Atwater;16/04/2022 10:52:22;229
Métro Viau (Pierre-de-Coubertin / Viau);Michelet / Jean-Talon;07/07/2022 20:59:47;228
